Nome: LENCOIS
Codigo Estacao: A425
Latitude: -12.557854
Longitude: -41.388808
Altitude: 438.09
Situacao: Operante
Data Inicial: 2008-04-04
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-08-31;124,2;967,172581;23,213844;3,7;,899731;
2016-09-30;30,4;966,383194;23,600833;3,9;,833472;
2016-10-31;165,6;963,8125;24,832527;4,5;,831855;
2016-11-30;null;null;null;3,6;null;
2016-12-31;null;null;null;8,1;null;
2017-01-31;null;null;null;3,6;null;
2017-02-28;null;null;null;4,7;null;
2017-03-31;88,6;962,472177;27,012097;3,7;,944624;
2017-04-30;91;963,7575;25,499722;3,9;,861944;
2017-05-31;113;965,185887;23,803495;3,8;,789919;
2017-06-30;28,2;967,075278;22,448611;4,4;,980417;
2017-07-31;50,8;970,190726;20,701075;4,6;1,446237;
2017-08-31;10,4;967,124194;22,282661;4,7;,914919;
2017-09-30;45,8;968,0525;22,906389;4,3;1,401111;
2017-10-31;3,2;964,390188;26,01707;4,5;1,270565;
2017-11-30;161,8;962,393889;24,367222;3,5;,651806;
2017-12-31;53;961,902688;25,781452;7,5;,755645;
2018-01-31;66;962,607393;26,378898;5,5;,8125;
2018-02-28;125,6;961,948958;25,798958;5,7;,64122;
2018-03-31;227,2;962,059005;25,831317;6,2;,657124;
2018-04-30;74,8;964,328889;24,329167;3,3;,686667;
2018-05-31;66,8;965,771371;23,362366;4,2;,721237;
2018-06-30;138,8;967,630278;22,091667;4,1;,779306;
2018-07-31;26,6;967,749462;21,868145;3,8;,620833;
2018-08-31;18,4;967,446237;23,197581;4,2;,796237;
2018-09-30;16;964,775833;24,763194;3,5;,865833;
2018-10-31;147,2;963,068145;26,290188;5;,988979;
2018-11-30;106,4;962,955139;25,219583;4;,983056;
2018-12-31;189,4;963,500269;24,755108;4,8;,723118;
2019-01-31;1,8;964,353898;26,427554;5,9;,85793;
2019-02-28;62,4;962,206548;27,812351;5,9;,789286;
2019-03-31;171,6;962,909543;26,771774;7;,734543;
2019-04-30;243,6;963,337361;25,618611;2,9;,489028;
2019-05-31;69;964,140188;24,667742;2,9;,44207;
2019-06-30;51,6;967,630833;22,706111;3,8;,673056;
2019-07-31;191,2;967,599597;21,574731;4,2;,725;
2019-08-31;61,4;969,029167;22,066667;3,9;,774731;
2019-09-30;35;966,296945;23,561944;4;,647639;
2019-10-31;90,8;963,802823;25,674866;7;,832393;
2019-11-30;44,8;961,735694;26,902639;4,6;,825;
2019-12-31;45,4;962,015322;27,579301;4,1;,978091;
2020-01-31;280,6;962,469624;25,727823;5,8;,626479;
2020-02-29;38,2;962,845402;26,586494;4;,559626;
2020-03-31;301,4;962,721102;25,175269;7,5;,666935;
2020-04-30;237,4;964,132639;24,399583;3,5;,7325;
2020-05-31;90;965,861559;23,207661;3,5;,680645;
2020-06-30;86,2;967,051667;21,874167;4,1;,720278;
2020-07-31;87,2;967,22379;21,281586;3,4;,688306;
2020-08-31;64,2;967,311425;21,652688;3,8;,684005;
2020-09-30;43;966,318056;23,002917;3,2;,630972;
2020-10-31;117;963,188038;25,49207;7,8;,649059;
2020-11-30;310,2;963,101528;23,737083;5,8;,646389;
2020-12-31;6,8;962,900269;25,189382;2,6;,619489;
2021-01-31;null;null;null;3,2;null;
2021-02-28;null;null;null;4,1;null;
2021-03-31;null;null;null;3,5;null;
2021-04-30;null;null;null;3,7;null;
2021-05-31;null;null;null;3;null;
2021-06-30;null;null;null;2,5;null;
2021-07-31;null;null;null;4;null;
2021-08-31;null;null;null;4,7;null;
2021-09-30;null;null;null;3,9;null;
2021-10-31;null;963,485256;25,925801;4,2;,863942;
2021-11-30;304,2;961,925278;24,375278;5,5;,64625;
2021-12-31;603,2;961,430645;24,091532;4,7;,545699;

